target_chembl_id,molecule_chembl_id,canonical_smiles,standard_type,assay_type,pchembl_value,RDKit_Molecule,Gasteiger/Marsili Partial Charges,BalabanJ,BertzCT,Ipc,HallKierAlpha,Kappa1 - Kappa3,"Chi0, Chi1",Chi0n - Chi4n,Chi0v - Chi4v,MolLogP,MolMR,MolWt,ExactMolWt,HeavyAtomCount,HeavyAtomMolWt,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAmideBonds,"Num{Aromatic,Saturated,Aliphatic}Rings","Num{Aromatic,Saturated,Aliphatic}{Hetero,Carbo}cycles",RingCount,FractionCSP3,NumSpiroAtoms,NumBridgeheadAtoms,TPSA,LabuteASA,PEOE_VSA1 - PEOE_VSA14,SMR_VSA1 - SMR_VSA10,SlogP_VSA1 - SlogP_VSA12,EState_VSA1 - EState_VSA11,VSA_EState1 - VSA_EState10,MQNs,Topliss fragments,Autocorr2D,BCUT2D
CHEMBL205,CHEMBL3326434,On1cccc(C(F)(F)F)c1=S,Ki,B,4.19,<rdkit.Chem.rdchem.Mol object at 0x145308fa0>,777,3.3680970943418047,343.3818138973726,351.3485573866442,-1.0400000000000003,777,777,777,777,2.4736900000000004,37.4525,195.165,194.996569408,12,191.13299999999998,1,2,3,1,6,0,66,777,777,777,1,0.16666666666666666,777,777,25.16,70.82962340909299,777,777,777,777,777,777,777,777,777
CHEMBL205,CHEMBL3326435,On1ccc(C(F)(F)F)cc1=S,Ki,B,4.85,<rdkit.Chem.rdchem.Mol object at 0x145309040>,777,3.2324590947302556,343.3818138973726,347.98073447272833,-1.0400000000000003,777,777,777,777,2.4736900000000004,37.45250000000001,195.16500000000002,194.996569408,12,191.13299999999998,1,2,3,1,6,0,66,777,777,777,1,0.16666666666666666,777,777,25.16,70.82962340909299,777,777,777,777,777,777,777,777,777
CHEMBL205,CHEMBL332648,CN(CC(=O)NCCC(=O)Nc1nnc(S(N)(=O)=O)s1)C(=N)N,Ki,B,8.7,<rdkit.Chem.rdchem.Mol object at 0x1453090a0>,777,2.3620355748256747,700.159007340273,76644.26024314681,-2.3200000000000003,777,777,777,777,-2.5444299999999993,82.0827,364.4130000000001,364.07359299200004,23,348.2850000000001,7,12,8,5,14,7,128,777,777,777,1,0.4444444444444444,777,777,197.25,135.34262124419473,777,777,777,777,777,777,777,777,777
CHEMBL205,CHEMBL332744,NCC(=O)NCC(=O)Nc1ccc(S(N)(=O)=O)cc1F,Ki,B,7.96,<rdkit.Chem.rdchem.Mol object at 0x145309100>,777,2.7420140615849964,632.1448041374033,16772.169317042146,-2.039999999999999,777,777,777,777,-1.5134999999999998,68.467,304.303,304.06415411600005,20,291.199,6,8,5,4,10,5,110,777,777,777,1,0.2,777,777,144.38,113.92003283375375,777,777,777,777,777,777,777,777,777
CHEMBL205,CHEMBL332755,CC(C)C(C(=O)NO)N(Cc1ccccc1)S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F,Ki,B,7.35,<rdkit.Chem.rdchem.Mol object at 0x145309160>,777,2.7880143772928405,1019.2825332922145,2328167.784293544,-2.569999999999999,777,777,777,777,3.1030000000000015,93.95800000000006,452.4010000000001,452.082919124,30,435.2650000000001,2,6,4,2,12,7,164,777,777,777,2,0.2777777777777778,777,777,86.71000000000001,168.4860931245161,777,777,777,777,777,777,777,777,777
CHEMBL205,CHEMBL332858,O=C(CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)NO,Ki,B,7.82,<rdkit.Chem.rdchem.Mol object at 0x1453091c0>,777,5.752067680583643,528.715020657617,15449.648423106562,-1.2900000000000005,777,777,777,777,0.8369000000000004,47.747699999999995,372.1649999999999,371.98263162,22,367.12499999999994,3,6,4,3,16,6,132,777,777,777,0,0.8333333333333334,777,777,95.5,114.8240748374976,777,777,777,777,777,777,777,777,777
CHEMBL205,CHEMBL3329921,COc1cccc(/C=C/C(=O)C[C@@H]2O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]2OC(C)=O)c1,Ki,B,6.38,<rdkit.Chem.rdchem.Mol object at 0x145309220>,777,2.3513373950433674,999.47453124762,40388625.46996102,-3.730000000000001,777,777,777,777,1.7931999999999995,123.60800000000005,506.5040000000003,506.1788117799998,36,476.26400000000035,0,11,11,0,11,10,196,777,777,777,2,0.48,777,777,140.73000000000002,208.15875098457917,777,777,777,777,777,777,777,777,777
CHEMBL205,CHEMBL3329922,COc1ccc(/C=C/C(=O)C[C@@H]2O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]2OC(C)=O)cc1OC,Ki,B,6.27,<rdkit.Chem.rdchem.Mol object at 0x145309280>,777,2.3576164399032695,1062.30834247326,100688790.2128653,-3.9300000000000006,777,777,777,777,1.8018000000000003,130.16000000000003,536.5300000000002,536.1893764639999,38,504.2740000000004,0,12,12,0,12,11,208,777,777,777,2,0.5,777,777,149.96,219.63723832848268,777,777,777,777,777,777,777,777,777
CHEMBL205,CHEMBL3329923,COc1ccc2cc(/C=C/C(=O)C[C@@H]3O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]3OC(C)=O)ccc2c1,Ki,B,6.38,<rdkit.Chem.rdchem.Mol object at 0x1453092e0>,777,1.863231038544835,1298.124900129152,357219421.82476705,-4.250000000000001,777,777,777,777,2.9464000000000006,141.11399999999986,556.5640000000003,556.1944618439998,40,524.3080000000003,0,11,11,0,11,10,214,777,777,777,3,0.41379310344827586,777,777,140.73000000000002,230.84041551631435,777,777,777,777,777,777,777,777,777
CHEMBL205,CHEMBL3329925,COc1ccc(/C=C/C(=O)C[C@@H]2O[C@H](COC(C)=O)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@H]2OC(C)=O)cc1OC,Ki,B,6.2,<rdkit.Chem.rdchem.Mol object at 0x145309340>,777,2.3576164399032695,1062.30834247326,100688790.2128653,-3.9300000000000006,777,777,777,777,1.8018000000000003,130.16000000000003,536.5300000000002,536.1893764639999,38,504.2740000000004,0,12,12,0,12,11,208,777,777,777,2,0.5,777,777,149.96,219.63723832848268,777,777,777,777,777,777,777,777,777
CHEMBL205,CHEMBL3329930,COc1ccc(/C=C/C(=O)C[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)cc1OC,Ki,B,6.26,<rdkit.Chem.rdchem.Mol object at 0x1453093a0>,777,2.0234481347177136,642.0783058342367,536320.0794602777,-1.97,777,777,777,777,-0.4814000000000005,91.97120000000004,368.38200000000006,368.14711772799996,26,344.1900000000001,4,8,8,4,8,7,144,777,777,777,2,0.5,777,777,125.68000000000002,150.79436710389126,777,777,777,777,777,777,777,777,777
CHEMBL205,CHEMBL333033,CN(CC(=O)Nc1c(S(N)(=O)=O)cc(S(N)(=O)=O)c(Cl)c1Cl)C(=N)N,Ki,B,7.89,<rdkit.Chem.rdchem.Mol object at 0x145309400>,777,3.52720807971783,947.0329724151281,97566.19017157651,-1.6399999999999992,777,777,777,777,-0.9480299999999993,92.38220000000001,433.29900000000015,431.984414908,25,419.1870000000002,8,11,6,5,15,5,140,777,777,777,1,0.2,777,777,202.53,153.19549685983503,777,777,777,777,777,777,777,777,777
